Description,Latitude,Longitude,
"Street Workout
Fresh air gym",54.34898213916318,18.665109919188936,
"Street Workout
Fresh air gym",54.34044717451029,18.66425630459537,
"Street Workout
Fresh air gym",54.3400063289449,18.674212569310388,
"Street Workout
Fresh air gym",54.399207533109376,18.626147384904897,
"Street Workout
Fresh air gym",54.355815000523386,18.593531723807622,
